City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,51.91,46,0,9.22,clear sky
1,Rikitea,PF,-23.1203,-134.9692,74.41,72,100,8.84,overcast clouds
2,Aguimes,ES,27.9054,-15.4461,67.66,74,20,8.05,few clouds
3,Khani,GE,41.9563,42.9566,56.77,48,0,7.49,clear sky
4,Vaini,TO,-21.2,-175.2,77.16,78,20,6.91,few clouds
5,Balagansk,RU,54.0103,103.0544,31.44,78,100,5.75,overcast clouds
6,Upernavik,GL,72.7868,-56.1549,32.7,93,100,6.78,overcast clouds
7,Ambon,ID,-3.6954,128.1814,84.34,89,40,3.44,scattered clouds
8,East London,ZA,-33.0153,27.9116,64.54,85,99,4.03,overcast clouds
9,Aykhal,RU,66.0,111.5,13.68,93,100,14.94,overcast clouds
10,Codrington,AU,-38.2667,141.9667,64.2,63,19,18.25,few clouds
11,Richards Bay,ZA,-28.783,32.0377,66.33,69,95,4.25,overcast clouds
12,Takoradi,GH,4.8845,-1.7554,77.43,93,53,8.01,broken clouds
13,Touros,BR,-5.1989,-35.4608,76.1,72,98,13.47,overcast clouds
14,Argelia,CO,2.2556,-77.2488,67.41,98,100,1.48,heavy intensity rain
15,Mar Del Plata,AR,-38.0023,-57.5575,59.0,65,90,3.0,overcast clouds
16,Esmeraldas,BR,-19.7625,-44.3139,67.06,91,13,9.46,few clouds
17,Ribeira Grande,PT,38.5167,-28.7,70.09,72,100,9.84,overcast clouds
18,Vestmannaeyjar,IS,63.4427,-20.2734,49.57,98,100,14.72,overcast clouds
19,Hermanus,ZA,-34.4187,19.2345,58.89,75,99,5.53,overcast clouds
20,Avarua,CK,-21.2078,-159.775,78.85,65,2,14.97,clear sky
21,Ushuaia,AR,-54.8,-68.3,49.66,57,40,0.0,scattered clouds
22,Lebanon,US,36.2081,-86.2911,72.97,74,1,0.0,clear sky
23,Holme,DK,56.1138,10.1725,40.64,89,30,6.76,scattered clouds
24,Mogadishu,SO,2.0371,45.3438,78.48,81,100,11.74,overcast clouds
25,Tiksi,RU,71.6872,128.8694,19.06,92,85,10.6,overcast clouds
26,Albany,US,42.6001,-73.9662,62.58,86,4,2.95,clear sky
27,Tineo,ES,43.3376,-6.4145,46.65,72,7,3.4,clear sky
28,Puerto Ayora,EC,-0.7393,-90.3518,69.55,87,81,5.01,broken clouds
29,Point Fortin,TT,10.1833,-61.6833,83.01,81,6,16.28,clear sky
30,Katsuura,JP,35.1333,140.3,67.1,88,100,19.89,moderate rain
31,Khatanga,RU,71.9667,102.5,11.17,96,100,7.29,overcast clouds
32,Rio Grande,BR,-32.035,-52.0986,63.95,93,100,7.7,overcast clouds
33,Deputatskiy,RU,69.3,139.9,21.92,94,100,3.67,light snow
34,Axim,GH,4.8699,-2.2405,77.95,91,53,8.08,broken clouds
35,Kodiak,US,57.79,-152.4072,44.11,76,90,0.0,light rain
36,Talnakh,RU,69.4865,88.3972,17.96,96,99,5.37,overcast clouds
37,New Norfolk,AU,-42.7826,147.0587,62.65,44,100,3.0,overcast clouds
38,Lebu,CL,-37.6167,-73.65,53.38,88,44,1.43,scattered clouds
39,Port Elizabeth,ZA,-33.918,25.5701,57.09,90,70,2.26,broken clouds
40,Yellowknife,CA,62.456,-114.3525,42.42,89,100,15.1,overcast clouds
41,Novobirilyussy,RU,56.9514,90.6661,25.56,57,94,2.46,overcast clouds
42,Kaitangata,NZ,-46.2817,169.8464,46.51,67,100,11.81,overcast clouds
43,Mataura,NZ,-46.1927,168.8643,46.65,63,99,6.17,overcast clouds
44,Haines Junction,CA,60.7522,-137.5108,36.54,84,100,1.52,overcast clouds
45,Lorengau,PG,-2.0226,147.2712,85.69,72,16,8.05,few clouds
46,Norman Wells,CA,65.282,-126.8329,33.85,88,100,10.02,overcast clouds
47,Constitucion,CL,-35.3333,-72.4167,50.81,87,34,2.86,scattered clouds
48,Chuy,UY,-33.6971,-53.4616,60.26,97,100,5.61,overcast clouds
49,Kloulklubed,PW,7.0419,134.2556,77.5,73,100,11.59,light rain
50,Menongue,AO,-14.6585,17.691,66.72,34,39,6.46,scattered clouds
51,Saint-Georges,GD,12.0564,-61.7485,82.44,79,83,13.13,broken clouds
52,Buraydah,SA,26.326,43.975,76.8,18,0,8.97,clear sky
53,Port Alfred,ZA,-33.5906,26.891,60.8,88,23,4.16,few clouds
54,Samarai,PG,-10.6167,150.6667,82.53,76,97,8.99,overcast clouds
55,Finschhafen,PG,-6.6024,147.8681,84.2,72,92,3.29,overcast clouds
56,Luangwa,ZM,-15.6167,30.4167,65.08,64,0,1.77,clear sky
57,Ilhabela,BR,-23.7781,-45.3581,68.74,92,67,9.1,broken clouds
58,Tura,IN,25.5198,90.2201,76.28,85,83,2.84,broken clouds
59,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,88,100,1.77,overcast clouds
60,Soyo,AO,-6.1349,12.3689,75.79,86,9,10.18,clear sky
61,Busselton,AU,-33.65,115.3333,56.05,61,78,8.14,broken clouds
62,Barrow,US,71.2906,-156.7887,30.22,80,90,25.32,mist
63,Raga,SS,8.4596,25.678,69.4,98,100,3.91,light rain
64,Thompson,CA,55.7435,-97.8558,41.54,91,100,6.31,overcast clouds
65,Krasnoselkup,RU,65.7,82.4667,24.62,82,21,7.96,few clouds
66,Iseyin,NG,7.9667,3.6,74.66,93,14,4.63,few clouds
67,Cabo San Lucas,MX,22.8909,-109.9124,78.51,87,90,4.0,light intensity drizzle
68,Kirkland Lake,CA,48.1446,-80.0377,65.23,88,99,4.09,overcast clouds
69,Colac,AU,-38.3333,143.5833,63.01,68,99,11.9,overcast clouds
70,Nikolskoye,RU,59.7035,30.7861,42.87,91,100,4.9,light rain
71,Tila,MX,17.4,-92.4833,74.55,97,8,2.73,clear sky
72,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,40,3.44,scattered clouds
73,Valparaiso,CL,-33.0393,-71.6273,55.04,82,75,5.75,broken clouds
74,Usinsk,RU,65.9939,57.5281,33.51,95,100,13.02,overcast clouds
75,Atikokan,CA,48.7555,-91.6216,49.82,75,0,5.19,clear sky
76,Hithadhoo,MV,-0.6,73.0833,82.83,75,100,18.05,overcast clouds
77,Neustadt,DE,49.7117,12.0872,40.82,91,90,5.75,mist
78,Salacgriva,LV,57.7536,24.3581,41.9,75,100,8.37,overcast clouds
79,Nouadhibou,MR,20.931,-17.0347,68.29,85,0,17.78,clear sky
80,Hobart,AU,-42.8794,147.3294,63.01,52,90,3.0,overcast clouds
81,Casper,US,42.8666,-106.3131,29.71,89,90,7.0,snow
82,Saint-Philippe,RE,-21.3585,55.7679,72.99,89,57,7.63,broken clouds
83,Garden City,US,42.3256,-83.331,67.14,81,90,11.5,overcast clouds
84,Pevek,RU,69.7008,170.3133,17.55,89,94,2.66,overcast clouds
85,Galesong,ID,-5.3166,119.3661,82.42,64,69,2.46,broken clouds
86,Baker City,US,44.7749,-117.8344,44.6,36,1,9.22,clear sky
87,Tateyama,JP,34.9833,139.8667,67.01,84,100,17.4,overcast clouds
88,Sola,VU,-13.8833,167.55,80.55,80,71,12.44,broken clouds
89,Nivala,FI,63.9167,24.9667,36.68,96,27,2.48,scattered clouds
90,Tuatapere,NZ,-46.1333,167.6833,47.55,65,91,3.89,overcast clouds
91,Sipe Sipe,BO,-17.45,-66.3833,70.29,57,93,2.53,overcast clouds
92,Tala,EG,30.6803,30.9429,69.12,81,100,5.73,overcast clouds
93,Ruteng,ID,-8.6136,120.4721,76.46,46,25,1.92,scattered clouds
94,Bluff,NZ,-46.6,168.3333,46.24,68,100,12.75,overcast clouds
95,Jamestown,US,42.097,-79.2353,69.39,88,20,6.91,few clouds
96,Labuan,MY,5.2767,115.2417,86.16,75,100,6.06,overcast clouds
97,Svetlogorsk,BY,52.6333,29.7333,43.56,93,100,3.58,overcast clouds
98,Nara,JP,34.6851,135.8049,76.28,79,98,1.92,overcast clouds
99,Georgetown,MY,5.4112,100.3354,84.13,79,100,0.0,overcast clouds
100,Komsomolskiy,UZ,40.4272,71.7189,43.52,70,0,4.61,clear sky
101,Whitehorse,CA,60.7161,-135.0538,38.01,74,98,15.01,overcast clouds
102,Kununurra,AU,-15.7667,128.7333,91.38,55,100,5.75,overcast clouds
103,Araouane,ML,18.9048,-3.5265,85.44,10,5,5.37,clear sky
104,Cape Town,ZA,-33.9258,18.4232,63.09,82,100,1.01,overcast clouds
105,Virden,US,39.5009,-89.7679,63.79,66,38,1.45,scattered clouds
106,Arraial Do Cabo,BR,-22.9661,-42.0278,68.74,86,93,18.43,overcast clouds
107,Fairbanks,US,64.8378,-147.7164,36.61,76,75,5.75,broken clouds
108,Kalabo,ZM,-14.97,22.6814,66.88,33,0,7.65,clear sky
109,Carnarvon,AU,-24.8667,113.6333,73.47,21,0,20.71,clear sky
110,Qaanaaq,GL,77.484,-69.3632,28.63,96,100,8.14,overcast clouds
111,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,46,75,11.18,broken clouds
112,Souillac,MU,-20.5167,57.5167,71.37,94,40,3.44,scattered clouds
113,Batagay-Alyta,RU,67.8006,130.4114,21.06,92,100,3.6,overcast clouds
114,Severo-Kurilsk,RU,50.6789,156.125,48.11,69,21,17.49,few clouds
115,Castro,BR,-24.7911,-50.0119,57.11,94,1,4.36,clear sky
116,Cherskiy,RU,68.75,161.3,8.2,87,80,1.16,broken clouds
117,Vardo,NO,70.3705,31.1107,42.01,82,100,17.92,overcast clouds
118,Nanning,CN,22.8167,108.3167,67.73,71,100,17.43,light rain
119,Beringovskiy,RU,63.05,179.3167,21.67,79,22,11.63,few clouds
120,Saskylakh,RU,71.9167,114.0833,11.03,97,99,4.88,overcast clouds
121,Maniitsoq,GL,65.4167,-52.9,37.29,65,5,5.68,clear sky
122,Geraldton,AU,-28.7667,114.6,64.13,42,0,20.71,clear sky
123,Butaritari,KI,3.0707,172.7902,81.48,68,41,7.78,scattered clouds
124,Kapaa,US,22.0752,-159.319,84.18,74,75,3.0,light rain
125,Guerrero Negro,MX,27.9769,-114.0611,66.65,55,0,22.59,clear sky
126,Udachnyy,RU,66.4167,112.4,15.82,93,100,13.0,overcast clouds
127,Kamen-Rybolov,RU,44.7481,132.0403,54.61,56,0,11.63,clear sky
128,Salvador,SV,13.8333,-88.9167,72.0,97,70,2.48,broken clouds
129,Yar-Sale,RU,66.8333,70.8333,30.42,97,100,14.47,light snow
130,Chulman,RU,56.8479,124.9104,21.87,55,100,6.51,overcast clouds
131,Bengkulu,ID,-3.8004,102.2655,78.42,85,81,2.59,moderate rain
132,Bethel,US,41.3712,-73.414,61.92,91,1,0.0,clear sky
133,Almeirim,BR,-1.5233,-52.5817,81.36,58,1,4.45,clear sky
134,Parry Sound,CA,45.3501,-80.033,64.87,92,100,8.05,overcast clouds
135,Roma,US,43.2128,-75.4557,66.88,81,1,6.91,clear sky
136,Yelan,RU,50.949,43.7378,52.38,37,100,13.67,overcast clouds
137,Horsham,GB,51.064,-0.3272,54.5,90,40,8.05,scattered clouds
138,Broome,US,42.2506,-75.833,63.91,89,20,5.01,few clouds
139,Dikson,RU,73.5069,80.5464,26.64,81,31,18.9,scattered clouds
140,Matveyevka,RU,52.15,56.1833,32.95,75,14,4.59,few clouds
141,Fortuna,US,40.5982,-124.1573,61.2,57,1,1.01,clear sky
